RegionName,StateName,HealthRegionName,MunicipalityName,MunicipalityLat,MunicipalityLon,match_0,match_1,match_2,match_3
Centro-Oeste,Mato Grosso do Sul,Campo Grande,São Gabriel do Oeste,-19.169090,-54.482705,,,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,Terenos,-20.447424,-55.023835,,,,
Centro-Oeste,Mato Grosso do Sul,Corumbá,Corumbá,-18.722279,-56.722392,,,,
Centro-Oeste,Mato Grosso do Sul,Corumbá,Ladário,-19.103312,-57.568457,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Amambai,-23.157910,-54.968373,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Anaurilândia,-22.111354,-52.804678,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Angélica,-22.062591,-53.865730,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Antônio João,-22.208637,-55.961475,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Aral Moreira,-22.907764,-55.450231,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Batayporã,-22.390980,-53.177634,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Caarapó,-22.588438,-54.802644,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Coronel Sapucaia,-23.347590,-55.383183,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Deodápolis,-22.156185,-54.152440,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Douradina,-22.014137,-54.587923,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Dourados,-22.144880,-54.838767,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Eldorado,-23.738086,-54.224948,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Fátima do Sul,-22.337404,-54.439511,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Glória de Dourados,-22.427287,-54.191882,,,,
Centro-Oeste,Mato Grosso do Sul,Dourados,Iguatemi,-23.434057,-54.538253,,,,
